feature,value,records,share_pct
person_home_ownership,RENT,16442,50.48
person_home_ownership,MORTGAGE,13441,41.26
person_home_ownership,OWN,2584,7.93
person_home_ownership,OTHER,107,0.33
loan_intent,EDUCATION,6451,19.8
loan_intent,MEDICAL,6071,18.64
loan_intent,VENTURE,5716,17.55
loan_intent,PERSONAL,5519,16.94
loan_intent,DEBTCONSOLIDATION,5212,16.0
loan_intent,HOMEIMPROVEMENT,3605,11.07
loan_grade,A,10776,33.08
loan_grade,B,10448,32.07
loan_grade,C,6456,19.82
loan_grade,D,3625,11.13
loan_grade,E,964,2.96
loan_grade,F,241,0.74
loan_grade,G,64,0.2
cb_person_default_on_file,N,26830,82.37
cb_person_default_on_file,Y,5744,17.63
